,movieId,director
0,1,John Lasseter
1,2,Joe Johnston
2,3,Howard Deutch
3,4,Forest Whitaker
4,5,Charles Shyer
5,6,Michael Mann
6,7,Sydney Pollack
7,8,Peter Hewitt
8,9,Peter Hyams
9,10,Martin Campbell
10,11,Rob Reiner
11,12,Mel Brooks
12,13,Simon Wells
13,14,Oliver Stone
14,15,Renny Harlin
15,16,Martin Scorsese
16,17,Ang Lee
17,18,Allison Anders
18,19,Steve Oedekerk
19,20,Joseph Ruben
20,21,Barry Sonnenfeld
21,22,Jon Amiel
22,23,Richard Donner
23,24,Victor Salva
24,25,Mike Figgis
25,26,Oliver Parker
26,27,Lesli Linka Glatter
27,28,Roger Michell
28,29,Marc Caro
29,30,Yimou Zhang
30,31,John N. Smith
31,32,Terry Gilliam
32,34,Chris Noonan
33,36,Tim Robbins
34,38,Andy Tennant
35,39,Amy Heckerling
36,40,Darrell Roodt
37,41,Richard Loncraine
38,42,Albert Hughes
39,43,Michael Hoffman
40,44,Paul W.S. Anderson
41,45,Gus Van Sant
42,46,Jocelyn Moorhouse
43,47,David Fincher
44,48,Mike Gabriel
45,49,Patricia Rozema
46,50,Bryan Singer
47,52,Woody Allen
48,53,Gianni Amelio
49,54,Holly Goldberg Sloan
50,55,Ulu Grosbard
51,57,Jodie Foster
52,58,Michael Radford
53,60,Frank Oz
54,61,John Schlesinger
55,62,Stephen Herek
56,63,Paris Barclay
57,64,Bill Bennett
58,65,Jason Bloom
59,66,Farhad Mann
60,68,Josiane Balasko
61,69,F. Gary Gray
62,70,Robert Rodriguez
63,71,Andrew Sipes
64,72,Noah Baumbach
65,73,Claude Lelouch
66,74,Michael Goldenberg
67,75,Steve Miner
68,76,Christian Duguay
69,77,Susanne Ofteringer
70,78,Sean Penn
71,79,Brian Gibson
72,80,Jafar Panahi
73,81,Gary Fleder
74,82,Marleen Gorris
75,83,Tim Reid
76,85,Philip Haas
77,86,Ridley Scott
78,87,Ken Kwapis
79,88,Penelope Spheeris
80,89,John Badham
81,92,Stephen Frears
82,93,Wes Craven
83,94,Ted Demme
84,95,John Woo
85,96,Kenneth Branagh
86,97,Mathieu Kassovitz
87,99,Nick Broomfield
88,100,Harold Becker
89,101,Wes Anderson
90,102,Nick Castle
91,103,John Dahl
92,104,Dennis Dugan
93,105,Clint Eastwood
94,106,Doris Dörrie
95,107,Brian Henson
96,108,Robert Leacock
97,110,Mel Gibson
98,111,Martin Scorsese
99,112,Stanley Tong
100,113,Barbet Schroeder
101,116,Jon Blair
102,117,Benjamin Ross
103,118,Eric Schaeffer
104,119,Andrew Davis
105,121,John N. Smith
106,122,Reginald Hudlin
107,123,Kar-Wai Wong
108,125,David O. Russell
109,126,Peter MacDonald
110,128,Michel Negroponte
111,129,Bryan Gordon
112,132,William Friedkin
113,135,David S. Ward
114,137,Dirk Shafer
115,140,Jon Avnet
116,141,Mike Nichols
117,144,Edward Burns
118,145,Michael Bay
119,146,Christopher Cain
120,147,Scott Kalvert
121,148,Mike Newell
122,149,Hal Hartley
123,150,Ron Howard
124,151,Michael Caton-Jones
125,152,Abel Ferrara
126,153,Joel Schumacher
127,154,Luis Buñuel
128,155,John Boorman
129,156,Paul Auster
130,157,Michael Moore
131,158,Brad Silberling
132,159,Spike Lee
133,160,Frank Marshall
134,161,Tony Scott
135,162,Terry Zwigoff
136,163,Robert Rodriguez
137,164,Carl Franklin
138,165,John McTiernan
139,166,Gregg Araki
140,168,Jerry Zucker
141,169,Dwight H. Little
142,170,Iain Softley
143,171,Christopher Ashley
144,172,Robert Longo
145,173,Danny Cannon
146,174,John Fortenberry
147,175,Larry Clark
148,176,Tom DiCillo
149,177,Clive Barker
150,178,Denys Arcand
151,179,Antonia Bird
152,180,Kevin Smith
153,181,Bryan Spicer
154,183,Anthony Waller
155,184,Michael Almereyda
156,185,Irwin Winkler
157,186,Chris Columbus
158,187,Daisy von Scherler Mayer
159,188,Gregory Widen
160,189,Norman René
161,190,Todd Haynes
162,191,Roland Joffé
163,193,Paul Verhoeven
164,194,Wayne Wang
165,195,Lasse Hallström
