,movieId,plot
0,1,A cowboy doll is profoundly threatened and jealous when a new spaceman figure supplants him as top toy in a boy's room.
1,2,"When two kids find and play a magical board game, they release a man trapped in it for decades - and a host of dangers that can only be stopped by finishing the game."
2,3,"John and Max resolve to save their beloved bait shop from turning into an Italian restaurant, just as its new female owner catches Max's attention."
3,4,"Based on Terry McMillan's novel, this film follows four very different African-American women and their relationships with men."
4,5,"George Banks must deal not only with the pregnancy of his daughter, but also with the unexpected pregnancy of his wife."
5,6,A group of high-end professional thieves start to feel the heat from the LAPD when they unknowingly leave a clue at their latest heist.
6,7,"An ugly duckling having undergone a remarkable change, still harbors feelings for her crush: a carefree playboy, but not before his business-focused brother has something to say about it."
7,8,Two best friends witness a murder and embark on a series of adventures in order to prove the innocence of the man wrongly accused of the crime.
8,9,A former fireman takes on a group of terrorists holding the Vice President and others hostage during the seventh game of the NHL Stanley Cup finals.
9,10,"Years after a friend and fellow 00 agent is killed on a joint mission, a secret space based weapons program known as ""GoldenEye"" is stolen. James Bond sets out to stop a Russian crime syndicate from using the weapon."
10,11,"A widowed U.S. President running for reelection and an environmental lobbyist fall in love. It's all above-board, but ""politics is perception,"" and sparks fly anyway."
11,12,Mel Brooks ' parody of the classic vampire story and its famous film adaptations.
12,13,"An outcast Husky risks his life with other sled dogs to prevent a deadly epidemic from ravaging Nome, Alaska."
13,14,"A biographical story of former U.S. President Richard Nixon, from his days as a young boy, to his eventual Presidency, which ended in shame."
14,15,A female pirate and her companion race against their rivals to find a hidden island that contains a fabulous treasure.
15,16,"A tale of greed, deception, money, power, and murder occur between two best friends: a mafia enforcer and a casino executive compete against each other over a gambling empire, and over a fast-living and fast-loving socialite."
16,17,"Rich Mr. Dashwood dies, leaving his second wife and her three daughters poor by the rules of inheritance. The two eldest daughters are the title opposites."
17,18,Four interlocking tales that take place in a fading hotel on New Year's Eve.
18,19,"Ace Ventura, Pet Detective, returns from a spiritual quest to investigate the disappearance of a rare white bat, the sacred animal of a tribe in Africa."
19,20,"A vengeful New York City transit cop decides to steal a trainload of subway fares. His foster brother, a fellow cop, tries to protect him."
20,21,"A mobster travels to Hollywood to collect a debt, and discovers that the movie business is much the same as his current job."
21,22,An agoraphobic psychologist and a female detective must work together to take down a serial killer who copies serial killers from the past.
