MOVID,director
6811.0,Hart Bochner
6812.0,Clint Eastwood
6814.0,Richard Benjamin
6816.0,Phil Joanou
6817.0,Clint Eastwood
6818.0,Elem Klimov
6820.0,John Fawcett
6821.0,Bill Norton
6827.0,Adam Bernstein
6832.0,Mike Nichols
6835.0,Luigi Cozzi
6836.0,Edgar G. Ulmer
6837.0,Leo McCarey
6849.0,Ronald Neame
6850.0,Richard Pearce
6851.0,Allison Anders
6852.0,Richard Brooks
6853.0,Ron Casden
6856.0,Michael Curtiz
6857.0,Yoshiaki Kawajiri
6858.0,Roman Polanski
6860.0,Michael Karbelnikoff
6862.0,Carl Franklin
6863.0,Richard Linklater
6867.0,Tom McCarthy
6868.0,James Cox
6869.0,José Padilha
6870.0,Clint Eastwood
6872.0,Uwe Boll
6873.0,Joel Coen
6874.0,Quentin Tarantino
6879.0,Gary Fleder
6880.0,Marcus Nispel
6881.0,Peter Hedges
6882.0,Takashi Yamazaki
6883.0,Christine Jeffs
6884.0,Joel Schumacher
6885.0,Jane Campion
6886.0,Martin Campbell
6887.0,Michael Tollin
6888.0,David Zucker
6889.0,Aaron Blaise
6890.0,Gus Van Sant
6893.0,Peter Collinson
6898.0,Ken Loach
6899.0,Albert Pyun
6902.0,Bob Gale
6909.0,Danny Pang
6911.0,Alfred E. Green
6912.0,Sidney Lanfield
6918.0,Satyajit Ray
6920.0,Jean-Pierre Melville
6927.0,Robert Benton
6932.0,Billy Ray
6934.0,Lana Wachowski
6935.0,Kim Bartley
6936.0,Jon Favreau
6938.0,Philip Boston
6939.0,Rolf Schübel
6942.0,Richard Curtis
6944.0,Charles Shyer
6945.0,Nathaniel Kahn
6946.0,Joe Dante
6947.0,Peter Weir
6948.0,Lauren Lazin
6949.0,Steve Anderson
6950.0,Ron Howard
6951.0,Bo Welch
6952.0,Mathieu Kassovitz
6953.0,Alejandro G. Iñárritu
6954.0,Denys Arcand
6957.0,Terry Zwigoff
6958.0,Rob Minkoff
6959.0,Richard Donner
6961.0,Louis Malle
6962.0,Scott Hamilton Kennedy
6963.0,Lucy Walker
6965.0,Alexandra Pelosi
6966.0,Sam Raimi
6967.0,Alberto Cavalcanti
6969.0,Luc Besson
6970.0,Walter Lang
6971.0,Lars von Trier
6973.0,Phil Joanou
6974.0,Andrew Bergman
6975.0,Michael Haneke
6978.0,Richard Linklater
6979.0,John Badham
6981.0,Carl Theodor Dreyer
6982.0,René Clément
6983.0,Robert Stevenson
6984.0,Jack Conway
6985.0,Carl Theodor Dreyer
6986.0,Fred Niblo
6987.0,Robert Wiene
6989.0,Michael Apted
6990.0,Michael Crichton
6992.0,Hugh Wilson
6993.0,Woody Allen
6994.0,John Badham
