MOVID,plot
148775.0,A young wizard conjures a spell that puts her family in jeopardy.
148881.0,A little girl is taken on a mind-bending tour of her distant future.
148888.0,"Derek and Hansel are lured into modelling again, in Rome, where they find themselves the target of a sinister conspiracy."
148956.0,A group of young adults navigate love and relationships in New York City.
148978.0,"Rin and his friends, along with the rest of True Cross Academy Town, are in the midst of preparing for a festival that is celebrated only once every 11 years. While the barriers protecting the city from demon intrusions are being repaired, Rin and his twin brother Yukio are sent to the scene of an exorcism as reinforcements. Things take a turn for the worse and as they attempt to salvage their mission, they meet a mysterious young boy that may threaten everything that they know. Meanwhile, Cheng-Long Liu, a First Class Senior Exorcist from the Taiwan Branch, joins the 'simple' repair operation that forces his fate to cross with 'Satan's spawn', Rin.::ELEVEN ARTS"
148982.0,A dog that is a minion of Satan terrorizes a suburban family.
149011.0,"Jack, a social outcast, is thrust out of his comfort zone when the outside world bangs on his door and he can't contain his violent past."
149144.0,"The humanity is suffering from murders all over the globe, called ""Mincemeat murders"". High school student, Izumi Shinichi has a parasite living off him, having replaced his right hand, and he might be the discoverer of truth."
149146.0,"Humanity is under attack by human-mimicking flesh-eating alien parasites. One parasite bonds with his young high school student host, and he convinces the parasite to help him stop the others."
149330.0,Three aliens come to Earth to discover the true meaning of Christmas.
149334.0,"A wealthy art gallery owner is haunted by her ex-husband's novel, a violent thriller she interprets as a symbolic revenge tale."
149350.0,"As the staff of Good Friends Church Camp prepares for a spring break filled with ""Fun Under the Son"", a demon logger rises from his sap boiler to wreak his vengeance and feast on flapjacks soaked in the blood of his victims."
149352.0,"Brad Whitaker is a radio host trying to get his stepchildren to love him and call him Dad. But his plans turn upside down when their biological father, Dusty Mayron, returns."
149354.0,Two sisters decide to throw one last house party before their parents sell their family home.
149380.0,"A small-town girl who moved to New York to pursue her dreams returns home for the holidays, only to realize that maybe her dreams aren't miles away, but right in her hometown."
149406.0,"Continuing his ""legendary adventures of awesomeness"", Po must face two hugely epic, but different threats: one supernatural and the other a little closer to home."
149508.0,A magician meets an eccentric girl and offers her to work together in his magic show. It is only until a year later that he starts to know her personally and develops a feeling towards her despite her own problems.
149566.0,"Voss entices local gamers to create a Utopian society in an attempt to impress a potential employer, but paradise is disrupted when his nemesis lays claim to the city and Voss's true love."
149590.0,"A young girl photographs an assassin killing 4 at a cemetery. He wants no witnesses. Carter, a veteran in a farmhouse, is all standing between him and the girl."
149612.0,"Ten years after their casino heist, four escaped convicts trace their former partner to a desert town, where he is now a lawman with no memory of his criminal past."
149830.0,Five sisters in 19th century England must cope with the pressures to marry while protecting themselves from a growing population of zombies.
149902.0,"In a world where clone soldiers from three military tribes are locked in a perpetual battle of air, land and technology, one clone is separated from the battle and finds herself on the run with a group of unlikely companions."
150254.0,"A struggling painter's possessed by dark forces after he and his young family move into their dream home in rural Texas, in this creepy haunted-house tale."
150401.0,A rogue soldier turned outlaw is thrust into a fight with a dirty sheriff and the cartel he works for to protect his niece and sister.
150548.0,Sherlock Holmes and Dr. Watson find themselves in 1890s London in this Christmas special.
150554.0,"Herbie, the magical Volkswagen Beetle, is passed on to a new owner. Together, they must battle a dastardly racer and his devil-car ""Horace"", an evil Herbie.::Michael Hutchison <rabhutch@spacestar.net>"
